Point,Date,Year,Y,X,GREG,WHIB,SWH,SDH,GBHE,GLIB,ROSP,WOST,Veg1,Veg2,Veg3,3 White Total,All Bird Total,Stage
35,2010-02-03,2010,26.8626376,-81.0160174,,,,,,,,,,,,150,150,13.7
36,2010-02-03,2010,26.8630289,-81.081772,,,,,,,,,,,,50,50,13.7
37,2010-02-03,2010,26.8632838,-81.0877656,,,,,,,,,,,,50,50,13.7
38,2010-02-03,2010,26.8690555,-81.0582218,,,,,,,,,,,,100,100,13.7
39,2010-02-03,2010,26.8782546,-81.0513818,,,,,,,,,,,,100,100,13.7
40,2010-02-03,2010,26.8791371,-80.9733162,,,,,,,,,,,,1000,1000,13.7
41,2010-02-03,2010,26.8867346,-81.0571914,,,,,,,,,,,,100,100,13.7
42,2010-02-03,2010,26.88722,-81.1029238,,,,,,,,,,,,150,150,13.7
43,2010-02-03,2010,26.8921862,-81.1008517,,,,,,,,,,,,200,200,13.7
44,2010-02-03,2010,26.8932682,-81.110471,,,,,,,,,,,,200,200,13.7
45,2010-02-03,2010,26.8944435,-81.1004732,,,,,,,,,,,,400,400,13.7
46,2010-02-03,2010,26.898716,-81.11161,,,,,,,,,,,,100,100,13.7
47,2010-02-03,2010,26.9116859,-81.0802397,,,,,,,,,,,,300,300,13.7
48,2010-02-03,2010,26.9134731,-81.0798062,,,,,,,,,,,,500,500,13.7
49,2010-02-03,2010,26.9209814,-81.1113482,,,,,,,,,,,,150,150,13.7
50,2010-02-03,2010,26.9436683,-81.1019211,,,,,,,,,,,,890,890,13.7
51,2010-02-03,2010,26.9495703,-81.0649393,,,,,,,,,,,,150,150,13.7
52,2010-02-03,2010,26.9583161,-81.0603252,,,,,,,,,,,,250,250,13.7
53,2010-02-03,2010,26.9715266,-81.0874687,,,,,,,,,,,,150,150,13.7
54,2010-02-03,2010,27.0035602,-81.0322126,,,,,,,,,,,,100,100,13.43
55,2010-02-03,2010,27.0095281,-81.0027705,,,,,,,,,,,,300,300,13.43
56,2010-02-03,2010,27.0509301,-80.9367164,,,,,,,,,,,,200,200,13.43
57,2010-02-03,2010,27.0669981,-80.9144991,,,,,,,,,,,,350,350,13.43
58,2010-02-03,2010,27.0683004,-80.9227433,,,,,,,,,,,,231,231,13.43
59,2010-02-03,2010,27.089957,-80.8734262,,,,,,,,,,,,595,595,13.43
60,2010-02-03,2010,27.096857,-80.8751239,,,,,,,,,,,,250,250,13.43
61,2010-02-03,2010,27.1020642,-80.872921,,,,,,,,,,,,100,100,13.43
62,2010-02-03,2010,27.1596574,-80.8572722,,,,,,,,,,,,100,100,13.43
63,2010-02-03,2010,27.1764981,-80.8305328,,,,,,,,,,,,100,100,13.43
64,2010-03-01,2010,26.696257,-80.7656847,,,,,,,,,,,,50,50,13.63
65,2010-03-01,2010,26.7093354,-80.810604,,,,,,,,,,,,50,50,13.63
66,2010-03-01,2010,26.8151028,-80.9682351,,,,,,,,,,,,500,500,13.665
67,2010-03-01,2010,26.8258817,-80.9988102,,,,,,,,,,,,200,200,13.665
68,2010-03-01,2010,26.8270193,-81.0358845,,,,,,,,,,,,700,700,13.665
69,2010-03-01,2010,26.831179,-81.0372743,,,,,,,,,,,,150,150,13.665
70,2010-03-01,2010,26.8367461,-81.0281115,,,,,,,,,,,,1500,1500,13.665
71,2010-03-01,2010,26.8529694,-81.0842764,,,,,,,,,,,,100,100,13.665
72,2010-03-01,2010,26.8563321,-81.0758346,,,,,,,,,,,,400,400,13.665
73,2010-03-01,2010,26.8568453,-81.0128119,,,,,,,,,,,,350,350,13.665
74,2010-03-01,2010,26.8579259,-81.0494144,,,,,,,,,,,,400,400,13.665
75,2010-03-01,2010,26.8766096,-80.9826245,,,,,,,,,,,,100,100,13.665
76,2010-03-01,2010,26.8794241,-81.0706457,,,,,,,,,,,,300,300,13.665
77,2010-03-01,2010,26.8800524,-81.0968105,,,,,,,,,,,,250,250,13.665
78,2010-03-01,2010,26.8832303,-80.9749001,,,,,,,,,,,,500,500,13.665
79,2010-03-01,2010,26.8847955,-81.0827268,,,,,,,,,,,,400,400,13.665
80,2010-03-01,2010,26.8849897,-81.1063771,,,,,,,,,,,,100,100,13.665
81,2010-03-01,2010,26.8898691,-81.1037117,,,,,,,,,,,,175,175,13.665
82,2010-03-01,2010,26.893615,-81.0911676,,,,,,,,,,,,500,500,13.665
83,2010-03-01,2010,26.9000361,-81.1040532,,,,,,,,,,,,100,100,13.665
84,2010-03-01,2010,26.9048122,-81.0860545,,,,,,,,,,,,350,350,13.665
85,2010-03-01,2010,26.9372684,-81.0948697,,,,,,,,,,,,300,300,13.665
86,2010-03-01,2010,27.003163,-81.0310952,,,,,,,,,,,,125,125,13.54
87,2010-03-01,2010,27.0621401,-80.9203032,,,,,,,,,,,,200,200,13.54
88,2010-03-01,2010,27.0848686,-80.9237643,,,,,,,,,,,,150,150,13.54
89,2010-03-01,2010,27.0926288,-80.8984374,,,,,,,,,,,,700,700,13.54
90,2010-03-16,2010,26.68555,-80.7342378,,,,,,,,,,,,100,100,14.165
91,2010-03-16,2010,26.709316,-80.8073548,,,,,,,,,,,,400,400,14.165
92,2010-03-16,2010,26.74767,-80.7261561,,,,,,,,,,,,150,150,14.165
93,2010-03-16,2010,26.7509214,-80.8829063,,,,,,,,,,,,130,130,14.165
94,2010-03-16,2010,26.7526808,-80.7313463,,,,,,,,,,,,300,300,14.165
95,2010-03-16,2010,26.7533044,-80.7324711,,,,,,,,,,,,50,50,14.165
96,2010-03-16,2010,26.7570529,-80.6982969,,,,,,,,,,,,50,50,14.165
97,2010-03-16,2010,26.7853517,-80.946587,,,,,,,,,,,,100,100,14.165
98,2010-03-16,2010,26.8089499,-80.950943,,,,,,,,,,,,60,60,14.165
99,2010-03-16,2010,26.8153079,-80.9598734,,,,,,,,,,,,100,100,14.165
100,2010-03-16,2010,26.8200077,-80.9800206,,,,,,,,,,,,70,70,14.165
101,2010-03-16,2010,26.8320359,-81.0040622,,,,,,,,,,,,100,100,14.165
102,2010-03-16,2010,26.8465906,-81.0223205,,,,,,,,,,,,130,130,14.165
103,2010-03-16,2010,26.8543137,-81.0039074,,,,,,,,,,,,150,150,14.165
104,2010-03-16,2010,26.8557177,-81.0135251,,,,,,,,,,,,150,150,14.165
105,2010-03-16,2010,26.8846079,-81.0398645,,,,,,,,,,,,60,60,14.165
106,2010-03-16,2010,26.8853781,-81.0519342,,,,,,,,,,,,100,100,14.165
107,2010-03-16,2010,26.8913435,-80.9761869,,,,,,,,,,,,150,150,14.165
108,2010-03-16,2010,26.9006232,-81.083297,,,,,,,,,,,,150,150,14.165
109,2010-03-16,2010,26.9081154,-81.0737395,,,,,,,,,,,,500,500,14.165
110,2010-03-16,2010,26.9322772,-81.0630075,,,,,,,,,,,,450,450,14.165
111,2010-03-16,2010,26.9358916,-81.0711293,,,,,,,,,,,,350,350,14.165
112,2010-03-16,2010,26.9381659,-81.0716914,,,,,,,,,,,,300,300,14.165
113,2010-03-16,2010,26.9539119,-81.0978041,,,,,,,,,,,,90,90,14.165
114,2010-03-16,2010,26.9673257,-81.0990794,,,,,,,,,,,,130,130,14.165
115,2010-03-16,2010,26.9700109,-81.0925965,,,,,,,,,,,,60,60,14.165
116,2010-03-16,2010,27.0410348,-80.9387231,,,,,,,,,,,,250,250,14.03
117,2010-03-16,2010,27.1063159,-80.8976746,,,,,,,,,,,,150,150,14.03
118,2010-04-07,2010,26.7397951,-80.7288722,,,,,,,,,,,,450,450,14.76
119,2010-04-07,2010,26.7822587,-80.9421188,,,,,,,,,,,,250,250,14.76
120,2010-04-07,2010,26.8341313,-80.9913955,,,,,,,,,,,,650,650,14.85
121,2010-04-07,2010,26.8654198,-81.0832005,,,,,,,,,,,,150,150,14.85
122,2010-04-07,2010,26.9073137,-81.0969363,,,,,,,,,,,,150,150,14.85
123,2010-04-07,2010,26.9160353,-81.094965,,,,,,,,,,,,200,200,14.85
124,2010-04-07,2010,26.9688535,-81.0989013,,,,,,,,,,,,50,50,14.85
125,2010-04-07,2010,26.9828364,-81.0713185,,,,,,,,,,,,250,250,14.705
126,2010-04-07,2010,27.0655077,-80.9622824,,,,,,,,,,,,80,80,14.705
127,2010-05-05,2010,26.7888118,-80.9512306,,,,,,,,,,,,15,15,15.08
128,2010-05-05,2010,26.8065384,-80.9650339,,,,,,,,,,,,38,38,15.08
129,2010-05-05,2010,26.8083054,-80.9553245,,,,,,,,,,,,50,50,15.08
130,2010-05-05,2010,26.8456443,-81.0729403,,,,,,,,,,,,40,40,15.11
131,2010-05-05,2010,26.8694721,-81.0824918,,,,,,,,,,,,50,50,15.11
132,2010-05-05,2010,26.8739336,-81.0859112,,,,,,,,,,,,50,50,15.11
133,2010-05-05,2010,26.8758344,-81.0903855,,,,,,,,,,,,30,30,15.11
134,2010-05-05,2010,26.9203263,-81.0909335,,,,,,,,,,,,41,41,15.11
135,2010-05-05,2010,27.0491489,-80.978506,,,,,,,,,,,,30,30,15.09
136,2011-01-11,2011,26.77639839,-80.93993026,,,,,,,,,,,,135,70,12.46
137,2011-01-11,2011,26.78042205,-80.94293655,,,,,,,,,,,,150,150,12.46
138,2011-01-11,2011,26.7826746,-80.94592398,,,,,,,,,,,,125,105,12.46
139,2011-01-11,2011,26.79523559,-80.96528336,,,,,,,,,,,,90,150,12.46
140,2011-01-11,2011,26.79946287,-80.96325328,,,,,,,,,,,,120,190,12.46
141,2011-01-11,2011,26.79099189,-80.94712951,,,,,,,,,,,,100,70,12.46
142,2011-01-11,2011,26.81096468,-80.95019718,,,,,,,,,,,,65,60,12.46
143,2011-01-11,2011,26.81666973,-80.98313463,,,,,,,,,,,,130,120,12.46
144,2011-01-11,2011,26.86388911,-80.97302372,,,,,,,,,,,,0,500,12.46
145,2011-01-11,2011,26.86575765,-80.96325308,,,,,,,,,,,,0,650,12.46
146,2011-01-11,2011,26.88509253,-80.96945278,,,,,,,,,,,,80,500,12.46
147,2011-01-11,2011,26.88278116,-80.99047461,,,,,,,,,,,,60,200,12.46
148,2011-01-11,2011,26.88872225,-81.00360509,,,,,,,,,,,,95,600,12.46
149,2011-01-11,2011,26.91460244,-81.03595447,,,,,,,,,,,,85,80,12.46
150,2011-01-11,2011,26.94950115,-81.08893942,,,,,,,,,,,,180,500,12.46
151,2011-01-11,2011,26.96890039,-81.08773637,,,,,,,,,,,,130,200,12.46
152,2011-01-11,2011,26.77639839,-80.93993026,,,,,,,,,,,,135,350,12.46
153,2011-01-11,2011,26.78042205,-80.94293655,,,,,,,,,,,,140,150,12.46
154,2011-01-11,2011,26.7826746,-80.94592398,,,,,,,,,,,,125,70,12.46
155,2011-01-11,2011,26.79523559,-80.96528336,,,,,,,,,,,,90,190,12.46
156,2011-01-11,2011,26.79946287,-80.96325328,,,,,,,,,,,,120,275,12.46
157,2011-01-11,2011,26.79099189,-80.94712951,,,,,,,,,,,,100,250,12.46
158,2011-01-11,2011,26.81096468,-80.95019718,,,,,,,,,,,,65,400,12.46
159,2011-01-11,2011,26.81666973,-80.98313463,,,,,,,,,,,,130,120,12.46
160,2011-01-11,2011,26.86388911,-80.97302372,,,,,,,,,,,,0,150,12.46
161,2011-01-11,2011,26.86575765,-80.96325308,,,,,,,,,,,,0,250,12.46
162,2011-01-11,2011,26.88509253,-80.96945278,,,,,,,,,,,,100,125,12.46
163,2011-01-11,2011,26.88278116,-80.99047461,,,,,,,,,,,,60,360,12.46
164,2011-01-11,2011,26.88872225,-81.00360509,,,,,,,,,,,,95,200,12.46
165,2011-01-11,2011,26.91460244,-81.03595447,,,,,,,,,,,,115,120,12.46
166,2011-01-11,2011,26.94950115,-81.08893942,,,,,,,,,,,,300,200,12.46
167,2011-01-11,2011,26.96890039,-81.08773637,,,,,,,,,,,,130,130,12.46
168,2011-02-16,2011,26.69866037,-80.76143247,,,,,,,,,,,,105,200,12.34
169,2011-02-16,2011,26.70040361,-80.79110875,,,,,,,,,,,,80,800,12.34
170,2011-02-16,2011,26.75064403,-80.88662639,,,,,,,,,,,,300,300,12.34
171,2011-02-16,2011,26.76213001,-80.89533457,,,,,,,,,,,,115,115,12.34
172,2011-02-16,2011,26.77810463,-80.93170975,,,,,,,,,,,,50,50,12.34
173,2011-02-16,2011,26.78129986,-80.94591338,,,,,,,,,,,,130,130,12.34
174,2011-02-16,2011,26.78409041,-80.94995157,,,,,,,,,,,,200,200,12.34
175,2011-02-16,2011,26.79911496,-80.97069793,,,,,,,,,,,,200,200,12.34
176,2011-02-16,2011,26.80191179,-80.94904549,,,,,,,,,,,,175,175,12.34
177,2011-02-16,2011,26.80195169,-80.9655214,,,,,,,,,,,,170,170,12.34
178,2011-02-16,2011,26.81535276,-80.98623246,,,,,,,,,,,,80,80,12.34
179,2011-02-16,2011,26.81362184,-80.98145868,,,,,,,,,,,,120,120,12.34
180,2011-02-16,2011,26.82108314,-81.01015346,,,,,,,,,,,,110,110,12.34
181,2011-02-16,2011,26.82342566,-81.01047865,,,,,,,,,,,,80,80,12.34
182,2011-02-16,2011,26.84274675,-80.95279875,,,,,,,,,,,,120,120,12.34
183,2011-02-16,2011,26.86616802,-80.9970166,,,,,,,,,,,,130,130,12.34
184,2011-02-16,2011,26.88200321,-80.97040107,,,,,,,,,,,,120,120,12.34
185,2011-02-16,2011,26.88131829,-80.98839066,,,,,,,,,,,,140,140,12.34
186,2011-02-16,2011,26.89221626,-81.02793689,,,,,,,,,,,,90,90,12.34
187,2011-02-16,2011,26.89623274,-81.00868906,,,,,,,,,,,,200,200,12.34
188,2011-02-16,2011,26.94432598,-81.05996399,,,,,,,,,,,,140,140,12.34
189,2011-02-16,2011,26.95446027,-81.06466291,,,,,,,,,,,,170,170,12.34
190,2011-02-16,2011,26.94570282,-81.09363923,,,,,,,,,,,,90,90,12.34
191,2011-02-16,2011,26.95563223,-81.07735368,,,,,,,,,,,,60,60,12.34
192,2011-02-16,2011,26.99103159,-81.05853327,,,,,,,,,,,,140,140,12.34
193,2011-02-16,2011,26.99295462,-81.04475107,,,,,,,,,,,,250,250,12.34
194,2011-02-16,2011,26.99674694,-81.0281644,,,,,,,,,,,,360,360,12.34
195,2011-02-16,2011,27.02486926,-80.94564006,,,,,,,,,,,,55,55,12.34
196,2011-02-16,2011,27.06412508,-80.90345665,,,,,,,,,,,,120,120,12.34
197,2011-02-16,2011,27.0686239,-80.88351689,,,,,,,,,,,,65,65,12.34
198,2011-02-16,2011,27.0801541,-80.87560904,,,,,,,,,,,,0,470,12.34
199,2011-02-16,2011,27.08495261,-80.86991171,,,,,,,,,,,,0,300,12.34
200,2011-02-16,2011,27.16794326,-80.8412244,,,,,,,,,,,,210,210,12.34
201,2011-02-16,2011,27.16581181,-80.84857787,,,,,,,,,,,,120,120,12.34
202,2011-02-16,2011,27.1776428,-80.84089428,,,,,,,,,,,,350,350,12.34
203,2011-02-16,2011,27.17816838,-80.83404596,,,,,,,,,,,,0,300,12.34
204,2011-02-16,2011,27.18512152,-80.83163569,,,,,,,,,,,,375,375,12.34
205,2011-03-08,2011,26.70347487,-80.79522646,,,,,,,,,,,,90,90,11.94
206,2011-03-08,2011,26.70093367,-80.82138158,,,,,,,,,,,,135,135,11.94
207,2011-03-08,2011,26.70437168,-80.7953865,,,,,,,,,,,,90,90,11.94
208,2011-03-08,2011,26.70360501,-80.78552744,,,,,,,,,,,,360,360,11.94
209,2011-03-08,2011,26.69852617,-80.7684576,,,,,,,,,,,,170,170,11.94
210,2011-03-08,2011,26.70524253,-80.71678279,,,,,,,,,,,,190,190,11.94
211,2011-03-08,2011,26.72129247,-80.72590392,,,,,,,,,,,,470,470,11.94
212,2011-03-08,2011,26.7237768,-80.73053723,,,,,,,,,,,,90,90,11.94
213,2011-03-08,2011,26.73060127,-80.72724945,,,,,,,,,,,,500,500,11.94
214,2011-03-08,2011,26.75955407,-80.6900547,,,,,,,,,,,,80,80,11.94
215,2011-03-08,2011,26.75180035,-80.6991591,,,,,,,,,,,,150,150,11.94
216,2011-03-08,2011,26.74771992,-80.70150307,,,,,,,,,,,,85,85,11.94
217,2011-03-08,2011,26.75996976,-80.88345622,,,,,,,,,,,,130,130,11.94
218,2011-03-08,2011,26.75523592,-80.88602546,,,,,,,,,,,,60,60,11.94
219,2011-03-08,2011,26.75788154,-80.90099404,,,,,,,,,,,,60,60,11.94
220,2011-03-08,2011,26.77120525,-80.93167368,,,,,,,,,,,,0,250,11.94
221,2011-03-08,2011,26.771171,-80.92942929,,,,,,,,,,,,225,225,11.94
222,2011-03-08,2011,26.81779124,-80.95913055,,,,,,,,,,,,300,300,11.94
223,2011-03-08,2011,26.81405109,-80.98168869,,,,,,,,,,,,90,90,11.94
224,2011-03-08,2011,26.81756111,-80.9849915,,,,,,,,,,,,250,250,11.94
225,2011-03-08,2011,26.82085497,-81.00111321,,,,,,,,,,,,90,90,11.94
226,2011-03-08,2011,26.83541902,-80.95788076,,,,,,,,,,,,55,55,11.94
227,2011-03-08,2011,26.84601197,-80.95331831,,,,,,,,,,,,60,60,11.94
228,2011-03-08,2011,26.85082588,-80.97288303,,,,,,,,,,,,400,400,11.94
229,2011-03-08,2011,26.85994267,-80.97187619,,,,,,,,,,,,800,800,11.94
230,2011-03-08,2011,26.87706441,-80.96227118,,,,,,,,,,,,0,70,11.94
231,2011-03-08,2011,26.88014678,-80.96582046,,,,,,,,,,,,250,250,11.94
232,2011-03-08,2011,26.8881947,-80.98284853,,,,,,,,,,,,170,170,11.94
233,2011-03-08,2011,26.89970811,-80.98871013,,,,,,,,,,,,470,470,11.94
234,2011-03-08,2011,26.89748558,-81.02616597,,,,,,,,,,,,850,850,11.94
235,2011-03-08,2011,26.92489098,-81.04364323,,,,,,,,,,,,105,105,11.94
236,2011-03-08,2011,26.91817249,-81.00202145,,,,,,,,,,,,105,105,11.94
237,2011-03-08,2011,26.93648779,-81.02874248,,,,,,,,,,,,350,350,11.94
238,2011-03-08,2011,26.93839701,-81.0512997,,,,,,,,,,,,55,55,11.94
239,2011-03-08,2011,26.94936146,-81.05795892,,,,,,,,,,,,110,110,11.94
240,2011-03-08,2011,26.99038648,-81.04190052,,,,,,,,,,,,550,550,11.94
241,2011-03-08,2011,26.99343298,-81.00755902,,,,,,,,,,,,60,60,11.94
242,2011-03-08,2011,27.00158906,-80.97982999,,,,,,,,,,,,175,175,11.94
243,2011-03-08,2011,27.02271582,-80.9467966,,,,,,,,,,,,0,500,11.94
244,2011-03-08,2011,27.02698514,-80.94253597,,,,,,,,,,,,0,650,11.94
245,2011-03-08,2011,27.06430757,-80.90391481,,,,,,,,,,,,320,320,11.94
246,2011-03-08,2011,27.06995556,-80.89833911,,,,,,,,,,,,140,140,11.94
247,2011-03-08,2011,27.07514569,-80.8728002,,,,,,,,,,,,1000,1000,11.94
248,2011-03-08,2011,27.09161953,-80.85934265,,,,,,,,,,,,0,80,11.94
249,2011-03-08,2011,27.16285038,-80.8446046,,,,,,,,,,,,170,170,11.94
250,2011-04-05,2011,26.7552387,-80.70018811,,,,,,,,,,,,45,45,11.66
251,2011-04-05,2011,26.75768062,-80.72710452,,,,,,,,,,,,650,650,11.66
252,2011-04-05,2011,26.70593942,-80.81737333,,,,,,,,,,,,400,400,11.66
253,2011-04-05,2011,26.83090123,-80.95106067,,,,,,,,,,,,120,120,11.66
254,2011-04-05,2011,26.88869329,-80.97256709,,,,,,,,,,,,1000,1000,11.66
255,2011-04-05,2011,26.89063336,-81.01274131,,,,,,,,,,,,90,90,11.66
256,2011-04-05,2011,26.89707503,-81.02500178,,,,,,,,,,,,300,300,11.66
257,2011-04-05,2011,26.90633264,-81.01986728,,,,,,,,,,,,400,400,11.66
258,2011-04-05,2011,26.90603415,-81.00333556,,,,,,,,,,,,2,2,11.66
259,2011-04-05,2011,26.92591604,-81.02152288,,,,,,,,,,,,300,300,11.66
260,2011-04-05,2011,26.93110833,-81.03530053,,,,,,,,,,,,70,70,11.66
261,2011-04-05,2011,26.92965177,-81.05972661,,,,,,,,,,,,180,180,11.66
262,2011-04-05,2011,26.94742721,-81.02098903,,,,,,,,,,,,105,105,11.66
263,2011-04-05,2011,26.95508758,-81.05173826,,,,,,,,,,,,150,150,11.66
264,2011-04-05,2011,26.9444199,-81.05304298,,,,,,,,,,,,120,120,11.66
265,2011-04-05,2011,26.94784315,-81.06030933,,,,,,,,,,,,50,50,11.66
266,2011-04-05,2011,26.95655271,-81.06805127,,,,,,,,,,,,250,250,11.66
267,2011-04-05,2011,26.96009547,-81.07269359,,,,,,,,,,,,50,50,11.66
268,2011-04-05,2011,26.99289553,-81.06479734,,,,,,,,,,,,45,45,11.66
269,2011-04-05,2011,26.99823419,-81.02013747,,,,,,,,,,,,65,65,11.66
270,2011-04-05,2011,27.01664129,-80.95414834,,,,,,,,,,,,90,90,11.66
271,2011-04-05,2011,27.02674944,-80.9475478,,,,,,,,,,,,140,140,11.66
272,2011-04-05,2011,27.0307158,-80.94208128,,,,,,,,,,,,165,165,11.66
273,2011-04-05,2011,27.03603781,-80.94227069,,,,,,,,,,,,0,200,11.66
274,2011-04-05,2011,27.04410008,-80.91840625,,,,,,,,,,,,70,70,11.66
275,2011-04-05,2011,27.05594029,-80.90866921,,,,,,,,,,,,290,290,11.66
276,2011-04-05,2011,27.06601384,-80.90273628,,,,,,,,,,,,900,900,11.66
277,2011-04-05,2011,27.07430311,-80.89503454,,,,,,,,,,,,160,160,11.66
278,2011-04-05,2011,27.17656609,-80.84072626,,,,,,,,,,,,520,520,11.66
279,2011-04-05,2011,27.13574542,-80.86976808,,,,,,,,,,,,280,280,11.66
280,2011-04-05,2011,27.11069304,-80.86342011,,,,,,,,,,,,380,380,11.66
281,2011-04-05,2011,27.08896163,-80.86783096,,,,,,,,,,,,260,260,11.66
282,2011-04-05,2011,27.08327184,-80.86524271,,,,,,,,,,,,230,230,11.66
283,2011-05-03,2011,26.69419644,-80.7617347,,,,,,,,,,,,225,225,10.85
284,2011-05-03,2011,26.70840816,-80.8191229,,,,,,,,,,,,500,500,10.85
285,2011-05-03,2011,26.70740284,-80.78923715,,,,,,,,,,,,120,120,10.85
286,2011-05-03,2011,26.71254589,-80.73158817,,,,,,,,,,,,110,110,10.85
287,2011-05-03,2011,26.72406652,-80.72523371,,,,,,,,,,,,350,350,10.85
288,2011-05-03,2011,26.72591559,-80.7438257,,,,,,,,,,,,85,85,10.85
289,2011-05-03,2011,26.74102667,-80.72479165,,,,,,,,,,,,60,60,10.85
290,2011-05-03,2011,26.74622476,-80.72863014,,,,,,,,,,,,150,150,10.85
291,2011-05-03,2011,26.75643201,-80.7215058,,,,,,,,,,,,140,140,10.85
292,2011-05-03,2011,26.7580057,-80.71899289,,,,,,,,,,,,65,65,10.85
293,2011-05-03,2011,26.77582932,-80.92364723,,,,,,,,,,,,400,400,10.85
294,2011-05-03,2011,26.89387039,-81.00040323,,,,,,,,,,,,240,240,10.85
295,2011-05-03,2011,26.88960352,-81.00643325,,,,,,,,,,,,120,120,10.85
296,2011-05-03,2011,26.93346366,-81.03121374,,,,,,,,,,,,75,75,10.85
297,2011-05-03,2011,26.94347815,-81.02143838,,,,,,,,,,,,150,150,10.85
298,2011-05-03,2011,26.94758291,-81.0421001,,,,,,,,,,,,250,250,10.85
299,2011-05-03,2011,26.93571366,-81.06126432,,,,,,,,,,,,300,300,10.85
300,2011-05-03,2011,27.00547068,-80.96906194,,,,,,,,,,,,300,300,10.85
301,2011-05-03,2011,27.01973077,-80.94888789,,,,,,,,,,,,140,140,10.85
302,2011-05-03,2011,27.06874768,-80.89653123,,,,,,,,,,,,220,220,10.85
303,2011-05-03,2011,27.06803776,-80.89184547,,,,,,,,,,,,250,250,10.85
304,2011-05-03,2011,27.09643914,-80.85693961,,,,,,,,,,,,120,120,10.85
305,2011-05-03,2011,27.09977334,-80.85868259,,,,,,,,,,,,600,600,10.85
306,2011-05-03,2011,27.13004613,-80.86343791,,,,,,,,,,,,110,110,10.85
307,2011-06-09,2011,26.73223333,-80.75081667,,,,,,,,,,,,90,90,9.73
308,2011-06-09,2011,26.69138333,-80.75198333,,,,,,,,,,,,450,450,9.73
309,2011-06-09,2011,26.71878333,-80.79911667,,,,,,,,,,,,80,80,9.73
310,2011-06-09,2011,26.7313,-80.77545,,,,,,,,,,,,1725,1725,9.73
311,2011-06-09,2011,26.72911667,-80.7534,,,,,,,,,,,,225,225,9.73
312,2011-06-09,2011,26.76316667,-80.70375,,,,,,,,,,,,360,360,9.73
313,2011-06-09,2011,26.76415,-80.72273333,,,,,,,,,,,,450,450,9.73
314,2011-06-09,2011,26.74536667,-80.85765,,,,,,,,,,,,325,325,9.73
